id,ru,en

BUTTON_MENU_START,"Начать","Start"
BUTTON_MENU_EXIT,"Выйти","Quit"
BUTTON_MENU_SETTINGS,"Настройки","Settings"
BUTTON_MENU_TUTORIAL,"Руководство","Guide"
BUTTON_MENU_STATS,"Статистика","Statistics"
BUTTON_MENU_SKINS,"Костюмы","Costumes"

BUTTON_EXIT,"Выйти","Exit"
BUTTON_SAVE_AND_EXIT,"Сохранить и Выйти","Save and Exit"
BUTTON_RESTART_GAME,"Перезапустить","Restart"

HINT_START_BUTTON,"приготовьте свои мандарины!","Get your tangerines ready!"
HINT_EXIT_BUTTON,"если надоело - это для вас.","If you're tired of it, this is for you."
HINT_SETTINGS_BUTTON,"настройте игру как душа пожелает!","Customize the game however your heart desires!"
HINT_TUTORIAL_BUTTON,"освежите память!","Refresh your memory!"
HINT_STATS_BUTTON,"узнайте свою статистику и новое об противниках!","Check out your stats and learn new things about enemies!"
HINT_SKINS_BUTTON,"выберите любой костюм для Колина!","Choose any costume for Colin!"
HINT_DEFAULT,". . .",". . ."
