id,ru,en

ANIMINTRO_SKIP,"(для пропуска нажмите любую кнопку)","(to skip, press any button)"

ANIMINTRO_D_1,"...","..."

ANIMINTRO_D_2,"ты помнишь как тебя зовут?","Do you remember your name?"

ANIMINTRO_D_3,"ну, предполагаю что нет.","Well, I guess not."

ANIMINTRO_D_4,"ты видел что в мире творится?!","Have you seen what's going on in the world?!"

ANIMINTRO_D_5,"...","..."

ANIMINTRO_D_6,"да-да-да, это не люди.","Yes, these are not people."

ANIMINTRO_D_7,"...","..."

ANIMINTRO_D_8,"ты вообще представляешь?
сколько всего произошло пока тебя не было?","Can you even imagine?
How much has happened while you were gone?"

ANIMINTRO_D_9,"...","..."

ANIMINTRO_D_10,"полный хаос.","FULL CHAOS."

ANIMINTRO_D_11,"так проснись уже чувак, проснииись!","So wake up already dude, wake up!"
