id,ru,en

ACHIEVEMENT_1_NAME,"Пройти 1 локацию","Complete 1 location"
ACHIEVEMENT_1_DESC,"Завершить 1 локацию
любым способом","Complete 1 location
by any means"

ACHIEVEMENT_2_NAME,"ВЬААА!","WAAAA!"
ACHIEVEMENT_2_DESC,"Нажать на слизне-кота
в главном меню","Click on the slug cat
in the main menu"

ACHIEVEMENT_3_NAME,"ЭТА ИГРА КИШИТ БАГАМИ!","THIS GAME IS FULL OF BUGS!"
ACHIEVEMENT_3_DESC,"Во время игры случайно
застрять в мусорной корзине","While playing, accidentally
get stuck in a trash basket."

ACHIEVEMENT_4_NAME,"OneShot.","OneShot."
ACHIEVEMENT_4_DESC,"Пройти любую локацию не
получив ни капли латекса","Complete any location without
getting a drop of latex."

ACHIEVEMENT_5_NAME,"Новый гоооод!","New Yeeeeear!"
ACHIEVEMENT_5_DESC,"Встретить событие
Новый Год в игре","Encounter the New Year's
event in the game."

ACHIEVEMENT_6_NAME,"На волоске от смерти","On the Brink of Death"
ACHIEVEMENT_6_DESC,"Завершить локацию будучи
почти трансфурмированным","Complete a location while being
almost transfurred."

ACHIEVEMENT_7_NAME,"В этой игре есть
скольжение?!","This game has sliding?!"
ACHIEVEMENT_7_DESC,"Завершить локацию не
использовав скольжение","Complete a location without
using the slide."

ACHIEVEMENT_8_NAME,"Стая на хвосте","A Pack on the Tail"
ACHIEVEMENT_8_DESC,"Набрать 10+ не
спящих врагов","Gather 10+ awake enemies."

ACHIEVEMENT_9_NAME,"Тише едешь -
дальше будешь!","Slow and Steady Wins the Race!"
ACHIEVEMENT_9_DESC,"Не разбудить врагов
на 2 локации","Do not wake up any enemies
on the 2nd location."
